Code;NACE_R2;Name;Code2
;Agriculture, forestry and fishing;;
A01;Crop and animal production, hunting and related service activities;Products of agriculture, hunting and related services;CPA_A01
A02;Forestry and logging;Products of forestry, logging and related services;CPA_A02
A03;Fishing and aquaculture;"Fish and other fishing products; aquaculture products; support services to fishing";CPA_A03
B;Mining and quarrying;Mining and quarrying;CPA_B
;Manufacturing;;
C10-C12;"Manufacture of food products; beverages and tobacco products";Food products, beverages and tobacco products;CPA_C10-C12
C13-C15;Manufacture of textiles, wearing apparel, leather and related products;Textiles, wearing apparel and leather products;CPA_C13-C15
;Manufacture of wood, paper, printing and reproduction;;
C16;"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials";"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials";CPA_C16
C17;Manufacture of paper and paper products;Paper and paper products;CPA_C17
C18;Printing and reproduction of recorded media;Printing and recording services;CPA_C18
C19;Manufacture of coke and refined petroleum products;Coke and refined petroleum products ;CPA_C19
C20;Manufacture of chemicals and chemical products;Chemicals and chemical products;CPA_C20
C21;Manufacture of basic pharmaceutical products and pharmaceutical preparations;Basic pharmaceutical products and pharmaceutical preparations;CPA_C21
;Manufacture of rubber and plastic products and other non-metallic mineral products;;
C22;Manufacture of rubber and plastic products;Rubber and plastics products;CPA_C22
C23;Manufacture of other non-metallic mineral products;Other non-metallic mineral products;CPA_C23
;Manufacture of basic metals and fabricated metal products, except machinery and equipment;;
C24;Manufacture of basic metals;Basic metals;CPA_C24
C25;Manufacture of fabricated metal products, except machinery and equipment;Fabricated metal products, except machinery and equipment;CPA_C25
C26;Manufacture of computer, electronic and optical products;Computer, electronic and optical products;CPA_C26
C27;Manufacture of electrical equipment;Electrical equipment;CPA_C27
C28;Manufacture of machinery and equipment n.e.c.;Machinery and equipment n.e.c.;CPA_C28
;Manufacture of motor vehicles, trailers, semi-trailers and of other transport equipment;;
C29;Manufacture of motor vehicles, trailers and semi-trailers;Motor vehicles, trailers and semi-trailers;CPA_C29
C30;Manufacture of other transport equipment;Other transport equipment;CPA_C30
;"Manufacture of furniture; jewellery, musical instruments, toys; repair and installation of machinery and equipment";;
C31_C32;"Manufacture of furniture; other manufacturing";"Furniture; other manufactured goods";CPA_C31_C32
C33;Repair and installation of machinery and equipment;Repair and installation services of machinery and equipment;CPA_C33
D35;Electricity, gas, steam and air conditioning supply;Electricity, gas, steam and air-conditioning;CPA_D35
;"Water supply; sewerage, waste management and remediation activities";;
E36;Water collection, treatment and supply;"Natural water; water treatment and supply services";CPA_E36
E37-E39;Sewerage, waste management, remediation activities;"Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ";CPA_E37-E39
F;Construction;Constructions and construction works;CPA_F
;"Wholesale and retail trade; repair of motor vehicles and motorcycles";;
G45;Wholesale and retail trade and repair of motor vehicles and motorcycles;Wholesale and retail trade and repair services of motor vehicles and motorcycles;CPA_G45
G46;Wholesale trade, except of motor vehicles and motorcycles;Wholesale trade services, except of motor vehicles and motorcycles;CPA_G46
G47;Retail trade, except of motor vehicles and motorcycles;Retail trade services, except of motor vehicles and motorcycles;CPA_G47
;Transportation and storage;;
H49;Land transport and transport via pipelines;Land transport services and transport services via pipelines;CPA_H49
H50;Water transport;Water transport services;CPA_H50
H51;Air transport;Air transport services;CPA_H51
H52;Warehousing and support activities for transportation;Warehousing and support services for transportation;CPA_H52
H53;Postal and courier activities;Postal and courier services;CPA_H53
I;Accommodation and food service activities;Accommodation and food services;CPA_I
;Information and communication;;
;"Publishing, motion picture, video, television programme production; sound recording, programming and broadcasting activities";;
J58;Publishing activities;Publishing services;CPA_J58
J59_J60;"Motion picture, video, television programme production; programming and broadcasting activities";"Motion picture, video and television programme production services, sound recording and music publishing; programming and broadcasting services";CPA_J59_J60
J61;Telecommunications;Telecommunications services;CPA_J61
J62_J63;Computer programming, consultancy, and information service activities;"Computer programming, consultancy and related services; information services";CPA_J62_J63
;Financial and insurance activities;;
K64;Financial service activities, except insurance and pension funding;Financial services, except insurance and pension funding;CPA_K64
K65;Insurance, reinsurance and pension funding, except compulsory social security;Insurance, reinsurance and pension funding services, except compulsory social security;CPA_K65
K66;Activities auxiliary to financial services and insurance activities;Services auxiliary to financial services and insurance services;CPA_K66
L68B;Real estate activities;Real estate services (exluding imputed rent);CPA_L68B
L68A;Imputed rents of owner-occupied dwellings;Imputed rents of owner-occupied dwellings;CPA_L68A
;Professional, scientific and technical activities;;
;"Legal and accounting activities; activities of head offices; management consultancy activities; architectural and engineering activities; technical testing and analysis";;
