Code.A64;NACE_R2;United.Nations
A01;Crop and animal production, hunting and related service activities;Agriculture, hunting, forestry, fishing (ISIC A-B)
A02;Forestry and logging;Agriculture, hunting, forestry, fishing (ISIC A-B)
A03;Fishing and aquaculture;Agriculture, hunting, forestry, fishing (ISIC A-B)
B;Mining and quarrying;Agriculture, hunting, forestry, fishing (ISIC A-B)
C10-C12;"Manufacture of food products; beverages and tobacco products";Mining, Manufacturing, Utilities (ISIC C-E)
C13-C15;Manufacture of textiles, wearing apparel, leather and related products;Mining, Manufacturing, Utilities (ISIC C-E)
C16;"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials";Mining, Manufacturing, Utilities (ISIC C-E)
C17;Manufacture of paper and paper products;Mining, Manufacturing, Utilities (ISIC C-E)
C18;Printing and reproduction of recorded media;Mining, Manufacturing, Utilities (ISIC C-E)
C19;Manufacture of coke and refined petroleum products;Mining, Manufacturing, Utilities (ISIC C-E)
C20;Manufacture of chemicals and chemical products;Mining, Manufacturing, Utilities (ISIC C-E)
C21;Manufacture of basic pharmaceutical products and pharmaceutical preparations;Mining, Manufacturing, Utilities (ISIC C-E)
C22;Manufacture of rubber and plastic products;Mining, Manufacturing, Utilities (ISIC C-E)
C23;Manufacture of other non-metallic mineral products;Mining, Manufacturing, Utilities (ISIC C-E)
C24;Manufacture of basic metals;Mining, Manufacturing, Utilities (ISIC C-E)
C25;Manufacture of fabricated metal products, except machinery and equipment;Mining, Manufacturing, Utilities (ISIC C-E)
C26;Manufacture of computer, electronic and optical products;Mining, Manufacturing, Utilities (ISIC C-E)
C27;Manufacture of electrical equipment;Mining, Manufacturing, Utilities (ISIC C-E)
C28;Manufacture of machinery and equipment n.e.c.;Mining, Manufacturing, Utilities (ISIC C-E)
C29;Manufacture of motor vehicles, trailers and semi-trailers;Mining, Manufacturing, Utilities (ISIC C-E)
C30;Manufacture of other transport equipment;Mining, Manufacturing, Utilities (ISIC C-E)
C31_C32;"Manufacture of furniture; other manufacturing";Mining, Manufacturing, Utilities (ISIC C-E)
C33;Repair and installation of machinery and equipment;Mining, Manufacturing, Utilities (ISIC C-E)
D35;Electricity, gas, steam and air conditioning supply;Manufacturing (ISIC D)
E36;Water collection, treatment and supply;Mining, Manufacturing, Utilities (ISIC C-E)
E37-E39;Sewerage, waste management, remediation activities;Mining, Manufacturing, Utilities (ISIC C-E)
F;Construction;Construction (ISIC F)
G45;Wholesale and retail trade and repair of motor vehicles and motorcycles;Wholesale, retail trade, restaurants and hotels (ISIC G-H)
G46;Wholesale trade, except of motor vehicles and motorcycles;Wholesale, retail trade, restaurants and hotels (ISIC G-H)
G47;Retail trade, except of motor vehicles and motorcycles;Wholesale, retail trade, restaurants and hotels (ISIC G-H)
H49;Land transport and transport via pipelines;Wholesale, retail trade, restaurants and hotels (ISIC G-H)
H50;Water transport;Wholesale, retail trade, restaurants and hotels (ISIC G-H)
H51;Air transport;Wholesale, retail trade, restaurants and hotels (ISIC G-H)
H52;Warehousing and support activities for transportation;Wholesale, retail trade, restaurants and hotels (ISIC G-H)
H53;Postal and courier activities;Wholesale, retail trade, restaurants and hotels (ISIC G-H)
I;Accommodation and food service activities;Transport, storage and communication (ISIC I)
J58;Publishing activities;Other Activities (ISIC J-P)
J59_J60;"Motion picture, video, television programme production; programming and broadcasting activities";Other Activities (ISIC J-P)
J61;Telecommunications;Other Activities (ISIC J-P)
J62_J63;Computer programming, consultancy, and information service activities;Other Activities (ISIC J-P)
K64;Financial service activities, except insurance and pension funding;Other Activities (ISIC J-P)
K65;Insurance, reinsurance and pension funding, except compulsory social security;Other Activities (ISIC J-P)
K66;Activities auxiliary to financial services and insurance activities;Other Activities (ISIC J-P)
L68B;Real estate activities;Other Activities (ISIC J-P)
L68A;Imputed rents of owner-occupied dwellings;Other Activities (ISIC J-P)
M69_M70;"Legal and accounting activities; activities of head offices; management consultancy activities";Other Activities (ISIC J-P)
M71;"Architectural and engineering activities; technical testing and analysis";Other Activities (ISIC J-P)
M72;Scientific research and development;Other Activities (ISIC J-P)
M73;Advertising and market research;Other Activities (ISIC J-P)
M74_M75;"Other professional, scientific and technical activities; veterinary activities";Other Activities (ISIC J-P)
N77;Rental and leasing activities;Other Activities (ISIC J-P)
N78;Employment activities;Other Activities (ISIC J-P)
N79;Travel agency, tour operator reservation service and related activities;Other Activities (ISIC J-P)
N80-N82;Security and investigation, service and landscape, office administrative and support activities;Other Activities (ISIC J-P)
O84;"Public administration and defence; compulsory social security";Other Activities (ISIC J-P)
P85;Education;Other Activities (ISIC J-P)
Q86;Human health activities;
Q87_Q88;Residential care activities and social work activities without accommodation;
R90-R92;"Creative, arts and entertainment activities; libraries, archives, museums and other cultural activities; gambling and betting activities";
R93;Sports activities and amusement and recreation activities;
S94;Activities of membership organisations;
S95;Repair of computers and personal and household goods;
S96;Other personal service activities;
T;"Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use";
U;Activities of extraterritorial organisations and bodies;
