"Data Source","World Development Indicators",

"Last Updated Date","2018-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2467703910.61453","","","","","","","",
"Afghanistan","AFG","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8013233121.55065","8689883606.07776","8781610175.40574","9762978844.07633","10305228125.1392","11721187594.2052","12144482858.18","14697331940.6464","15936800636.2487","16911126453.2276","19352203805.6294","20107051004.7208","20648035625.8094","20918533232.7445","21413614654.5612","",
"Angola","AGO","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","27308217745.3027","28072847844.34","30290602825.0746","31986876577.4349","32114824089.7994","32018479611.528","31634257859.5578","29451494066.6941","22176975036.2843","22953169160.1838","25340298757.1282","28178412209.4545","30404506776.7536","32473461135.5772","33525536222.4799","34535350910.2526","35993076035.6583","33494990431.6857","35252638225.9501","39087976314.0264","46226007691.4898","55811028114.6479","68420444001.4995","77874196512.1845","79753199398.1396","82470913120.7314","85702615836.4404","90120963241.2186","96261432368.2645","100886286610.958","103919917621.964","103228482979.809","",
"Albania","ALB","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","5639605626.23213","5963636797.42292","6139480401.28891","6207317869.32012","6129627287.14195","6238774125.18701","6590468993.96566","6538546468.0658","6445696515.37026","7079730609.59294","6401801081.44935","4507572306.61807","4183027101.16522","4584597704.7764","4965119313.34799","5625480181.64412","6137398878.60781","5472236442.22248","5965222153.93997","6770597139.17318","7221967155.94539","7795415283.49943","8125268226.50561","8594379820.60266","9085080800.55322","9604821915.17285","10126461016.8989","10723922216.8765","11127233240.5581","11500286001.8886","11926953258.916","12231109752.6888","12404787541.0993","12528929022.9843","12751238423.4304","13035155128.1913","13474438371.513","",
"Andorra","AND","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","1022930411.1163","1070491206.24643","1157733493.6236","1247903187.07193","1318020243.18285","1325166623.52504","1368947306.81745","1407805910.58157","1428402113.57242","1428995717.42599","1460558340.33864","1458623472.81247","1476804647.19237","1502945836.75764","1529768711.11779","1565281267.29392","1616204903.65455","1705857764.18649","1792759723.25731","1879296849.01282","1950360346.83369","2000016577.27601","2018600970.43982","1997779424.18469","2045390257.51495","2101791877.24365","2199519738.00303","2398964977.79976","2475606878.11635","2577084005.24761","2668012839.88281","2789321202.45229","2969818586.67949","3331207491.64175","3585973903.04456","3851227772.83026","4025933064.029","4027543882.80023","3681577710.754","3545703433.76383","3355695364.23841","3199771534.45741","3148088242.81882","3159158337.77854","3231113955.01675","3258326510.42858","3298477025.11996","",
"Arab World","ARB","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","575719883618.6","667277489580.212","724032782910.032","718251553521.933","801605058260.428","874912382114.757","898422011270.005","817630760234.93","763883238070.108","772029323457.832","755317903329.109","789026900343.418","784084540695.677","827905263903.74","845465140183.516","956570715966.867","971202572601.995","1017775572237.85","1050353944823.65","1084068642673.27","1113938156657.64","1163827568235.47","1212561842219.31","1274406267888.05","1297444784407.72","1367137035434.86","1389198683056.08","1397315378309.98","1471643392571.97","1609031160650.39","1701008965234.39","1811495219287.67","1894312565174.66","2004890615669.46","2013506970516.71","2109667954478.21","2184566385181.96","2297565145467.12","2382070218445.06","2451625856051.96","2535080842414.85","2616760815592.8","",
"United Arab Emirates","ARE","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","56806673982.3009","66195031477.1954","80386802831.8584","79108971545.2689","95661395017.0184","118500337753.574","124021477848.877","115688082614.023","110197733641.933","114624322913.547","110504178543.227","93974812607.2158","97153023580.6671","94608675561.6066","106281391095.984","125760629081.008","126842273546.63","131085077658.271","132738310796.46","141892141892.444","151381727243.022","160159451463.581","173277148999.319","173783108481.961","178826665568.414","198234194635.807","201007659577.944","205899094159.292","224019327978.216","245449995044.248","257366938869.98","282684947637.849","291686739332.88","300996902491.491","285215869952.349","289880430197.413","308313695439.074","324052121225.323","342814434663.036","354075635616.065","367632720980.259","378795740748.809","",
"Argentina","ARG","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","115573868508.15","121847036500.547","120808873523.837","114396100733.294","125984766250.65","139300642138.499","138381639345.114","142798776600.374","149685248718.023","164174071297.927","169174227931.948","178746327507.296","181657062226.624","186764812014.466","197100011389.723","197044011131.933","193067167388.744","206454730042.606","197151622246.269","217305966255.665","226327993530.555","213450998966.355","202869851896.919","210731309048.029","215392208305.706","199051096781.772","214727922914.33","220976490720.555","215326332052.416","199185061978.086","194406693571.09","219037458045.206","245192227489.582","259675534967.549","274830720366.623","267011210297.951","281768091694.844","304622433397.251","316350941905.026","305641016669.195","303229512290.352","289860609223.184","258281789127.305","281106256200.528","306488951656.956","333618311350.415","360465082297.96","392934518437.813","408876787794.809","384677312577.801","423627422092.49","449061807872.401","444452545623.356","455143068397.581","443707073929.401","455453204462.872","445226712654.891","",
"Armenia","ARM","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6357857589.72256","5613988348.08606","3267341064.55077","2979815090.27954","3140725187.90155","3357435176.13862","3554362204.25115","3672405405.76911","3940490999.95859","4070527203.11312","4310688308.03981","4722645335.98072","5345387542.90141","6095922452.64279","6734033974.85163","7667755681.51717","8679746345.9219","9873142200.51879","10554389012.5207","9060944166.21842","9260284937.79782","9695518329.74638","10393595649.8063","10736584306.437","11123101341.572","11479040584.7388","11501998665.6524","",
"American Samoa","ASM","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","623365638.76652","628440528.634361","631823788.546256","629286343.612335","603066079.295154","614907488.986784","598837004.405287","573462555.066079","576000000","577691629.955947","552317180.61674","537092511.013216","542167400.881057","548933920.704846","534555066.079295","",
